Country.,Contract.Phase.,Recode.Structure.,Implementing.Organization.,BeginDate,EndDate,Status.,Birth.registration,Calendar,Cooking.fuel,Domestic.violence,Fieldworker.characteristics,Fistula,GPS.georeferenced,HIV.behavior,HIV.knowledge,Iodine.salt.test,Malaria.bednet.inventory..Includes.bednet.inventory,Male.circumcision.self.reported,Maternal.mortality,Men.s.survey,Micronutrients,Paper.survey,Social.marketing,Tobacco.use,Tuberculosis.questions,Vitamin.A.questions,Women.s.status,dhs_cc,dhs_recode_code,survey_id,Abortion,Alcohol.consumption,Causes.of.death,Health.expenditures,Migration,Out.of.pocket.health.expenditures,Pregnancy.history,Prenatal.care...folic.acid,Verbal.autopsy,Anemia.testing,Anthropometry,Blood.pressure..measure.,Blood.pressure.questions,CAPI.survey,Child.discipline,Child.labor,Diabetes.questions,Disability,Early.childhood.education,Health.insurance,Vaccinations.from.health.facilities,Non.communicable.diseases,Anemia.questions,HIV.testing,HIV.testing.includes.confirmation,Malaria...RDT,Malaria...Microscopy,Breast.cancer.screening,Cervical.cancer.screening,Prostate.cancer.screening,CAFÉ.survey,Service.availability,Diabetes.testing,Arsenic...water.test,Husband.s.survey,Early.childhood.development,Female.genital.cutting,OVC,Arm.circumference,Asthma,Basic.material.needs,Youth,Hepatitis.B.testing,Hepatitis.C.testing,Avian.influenza.knowledge,HIV.testing...children,Lead.testing,HIV.incidence,HIV.viral.load,E..coli...water.test,Measles.testing,Syphilis.testing,Tetanus.testing,HIV.CD4.count,Chlorine...water.test,Urine.iodine.excretion,Iron.transferrin.receptor..related.to.anemia.testing,Vitamin.A.testing,Herpes.simplex.virus...HSV.2.,Human.trafficking,Chlamydia.testing,Lipids.testing,dayslength,middate,BeginYear,EndYear,surveyyr,WealthIndex
Congo,DHS-VI,DHS-VI,"Centre National de la Statistique et des Études Économiques (CNSEE) (Ministère de l’Économie, du Plan, de l’Aménagement du Territoire et de l’Intégration)",2011-09-01,2012-02-01,Completed,1,NA,1,NA,NA,1,NA,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,CG,60,388,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,2011-11-16,2011,2012,2012,NA
Congo,DHS-V,DHS-V,Centre National de la Statistique et des Etudes Economiques,2009-03-01,2009-06-01,Completed,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,CG,5H,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,2009-04-16,2009,2009,2009,NA
Congo,DHS-V,DHS-V,Centre National de la Statistique et des Etudes Economiques,2005-07-01,2005-11-01,Completed,1,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,CG,51,267,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,2005-09-01,2005,2005,2005,NA
Congo Democratic Republic,DHS-VII,NA,Kinshasa School of Public Health (KSPH),2017-10-01,2018-04-01,Completed,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,2017-12-31,2017,2018,2018,NA
Congo Democratic Republic,DHS-VI,DHS-VI,Ministry of Planning,2013-08-01,2014-02-01,Completed,1,NA,1,1,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,CD,61,421,NA,1,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,1,1,1,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,2013-11-01,2013,2014,2014,1
Congo Democratic Republic,DHS-V,DHS-V,Under the direction of the Ministry of Planning,2007-01-01,2007-08-01,Completed,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,CD,50,239,NA,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,2007-04-17,2007,2007,2007,NA
Cote d'Ivoire,DHS-VII,NA,Institut National de la Statistique (INS),2016-07-01,2016-08-01,Completed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,507,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,2016-07-17,2016,2016,2016,NA
Cote d'Ivoire,DHS-VI,DHS-VI,"Ministère de la Santé et de la Lutte contre le Sida (MSLS), Institut National de la Statistique(INS)",2011-12-01,2012-05-01,Completed,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,CI,62,311,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,2012-02-15,2011,2012,2012,1
Cote d'Ivoire,DHS-V,DHS-V,Institut National de la Statistique (INS),2005-08-01,2005-10-01,Completed,1,NA,NA,1,NA,NA,NA,1,1,NA,1,1,1,1,NA,1,NA,NA,NA,NA,1,CI,50,231,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,2005-08-31,2005,2005,2005,1
Cote d'Ivoire,DHS-III,DHS-III,Institut National de la Statistique (INS),1998-09-01,1999-03-01,Completed,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,CI,3A,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181,1998-11-30,1998,1999,1999,1
Cote d'Ivoire,DHS-III,DHS-III,Institut National de la Statistique (INS),1994-06-01,1994-11-01,Completed,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,CI,35,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,1994-08-16,1994,1994,1994,1
Dominican Republic,DHS-VI,DHS-VI,Centro de Estudios Sociales y Demográficos (CESDEM),2013-07-01,2013-10-01,Completed,NA,NA,1,1,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,1,DR,61,439,NA,1,NA,1,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,2013-08-16,2013,2013,2013,1
Dominican Republic,DHS-VI,DHS-VI,Centro de Estudios Sociales y Demográficos (CESDEM),2013-07-01,2013-10-01,Completed,NA,NA,1,1,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,1,DR,6A,490,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,2013-08-16,2013,2013,2013,NA
Dominican Republic,DHS-V,DHS-V,Center for Demographic Studies  (CESDEM),2007-03-01,2007-08-01,Completed,1,NA,1,1,NA,NA,1,1,1,NA,NA,1,1,1,1,1,NA,1,1,1,1,DR,52,291,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,2007-05-16,2007,2007,2007,1
Dominican Republic,DHS-V,DHS-V,Centro de Estudios Sociales y Demográficos (CESDEM),2007-07-01,2007-08-01,Completed,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,1,NA,1,1,1,NA,1,1,1,1,DR,5A,331,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,2007-07-17,2007,2007,2007,NA
Dominican Republic,DHS-IV,DHS-IV,"CESDEM, Centro de Estudios Sociodemograficos",2002-07-01,2002-12-01,Completed,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,1,1,1,1,NA,NA,1,NA,1,DR,4A,210,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,2002-09-15,2002,2002,2002,1
Dominican Republic,DHS-IV,DHS-IV,Centro de Estudios Sociodemograficos (CESDEM),1999-08-01,1999-12-01,Completed,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,DR,41,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,1999-10-01,1999,1999,1999,1
Dominican Republic,DHS-III,DHS-III,Centro de Estudios Sociodemograficos (CESDEM)/PROFAMILIA,1996-09-01,1996-12-01,Completed,NA,1,1,NA,NA,NA,NA,1,1,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,DR,32,92,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,1996-10-17,1996,1996,1996,1
Dominican Republic,DHS-II,DHS-II,Asociación Dominicana Pro-Bienestar de la Familia,1991-07-01,1991-11-01,Completed,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,DR,21,37,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,1991-09-01,1991,1991,1991,NA
Dominican Republic,DHS-I,DHS-I,Consejo Nacional de Población y Familia,1986-09-01,1986-12-01,Completed,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,DR,01,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,1986-10-17,1986,1986,1986,NA
Dominican Republic,DHS-I,NA,Consejo Nacional de Población y Familia,1986-09-01,1986-12-01,Completed,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,DR,0B,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,1986-10-17,1986,1986,1986,NA
Ecuador,DHS-I,DHS-I,Centro de Estudios de Población y Paternidad Responsable,1987-01-01,1987-03-01,Completed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,EC,01,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,1987-01-31,1987,1987,1987,NA
Egypt,DHS-VII,NA,"Ministry of Health and Population, National Population Council, El-Zanaty and Associates",2015-02-01,2015-05-01,Completed,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,1,1,NA,1,NA,NA,1,EG,73,480,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,2015-03-17,2015,2015,2015,NA
Egypt,DHS-VI,DHS-VI,"Ministry of Health and Population, National Population Council, El-Zanaty and Associates",2014-04-01,2014-06-01,Completed,1,1,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,1,1,EG,61,397,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,2014-05-01,2014,2014,2014,1
Egypt,DHS-V,DHS-V,Ministry of Health and Population/El-Zanaty and Associates,2008-03-01,2008-06-01,Completed,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,1,1,1,NA,1,1,EG,5A,294,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,2008-04-16,2008,2008,2008,1
Egypt,DHS-V,DHS-IV,"Ministry of Health and Population, National Population Council, El-Zanaty and Associates",2005-04-01,2005-06-01,Completed,NA,1,1,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,EG,51,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,2005-05-01,2005,2005,2005,NA
Egypt,DHS-V,NA,El-Zanaty and Assoicates,2004-05-01,2004-06-01,Completed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,2004-05-17,2004,2004,2004,NA
Egypt,DHS-IV,DHS-IV,El-Zanaty and Associates,2003-05-01,2003-06-01,Completed,NA,1,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,EG,4A,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,2003-05-17,2003,2003,2003,NA
Egypt,DHS-IV,NA,El-Zanaty & Assoc; Ministry of Health,2002-09-01,2002-09-01,Completed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2002-09-01,2002,2002,2002,NA
Egypt,DHS-IV,DHS-IV,Nat. Population Council,2000-02-01,2000-04-01,Completed,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,1,1,EG,42,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,2000-03-02,2000,2000,2000,1
Egypt,DHS-III,,El-Zanaty & Associates,1998-11-01,1998-12-01,Completed,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1998-11-16,1998,1998,1998,NA
Egypt,DHS-III,NA,Nat. Population Council,1996-10-01,1997-11-01,Completed,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,EG,3A,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,396,1997-04-17,1996,1997,1997,NA
Egypt,DHS-III,,El-Zanaty & Associates,1997-12-01,1998-01-01,Completed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1997-12-17,1997,1998,1998,NA
Egypt,DHS-III,DHS-III,National Population Council,1995-11-01,1996-01-01,Completed,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,EG,33,71,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,1995-12-01,1995,1996,1996,1
Egypt,DHS-II,DHS-II,National Population Council,1992-11-01,1993-02-01,Completed,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,EG,21,45,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,1992-12-17,1992,1993,1993,NA
Egypt,DHS-I,DHS-I,National Population Council,1988-10-01,1989-01-01,Completed,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,1,EG,01,24,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,1988-11-16,1988,1989,1989,NA
El Salvador,DHS-I,DHS-I,Associación Demográfica Salvadoreña,1985-05-01,1985-07-01,Completed,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,ES,01,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,1985-05-31,1985,1985,1985,NA
Equatorial Guinea,DHS-VI,,Ministerio de Sanidad y Biennestar Social & Ministerio de Planificacion,2011-07-01,2011-11-01,Completed,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,314,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,2011-09-01,2011,2011,2011,1
Eritrea,DHS-IV,DHS-IV,National Statistics and Evaluation Office,2002-03-01,2002-07-01,Completed,NA,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,170,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,2002-05-01,2002,2002,2002,1
Eritrea,DHS-III,DHS-III,Nat. Statistics Office,1995-09-01,1996-01-01,Completed,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,1995-11-01,1995,1996,1996,1
